rsi_p,fast_p,slow_p,k_p,d_p,avg_sharpe,avg_return,avg_calmar,avg_maxdd,avg_win_rate,avg_trades,n_stocks
4,15,35,8,20,0.4586847088190932,1.9119743915449423,0.2087860866724341,-0.43821485245392533,0.5713365622524968,72.77777777777777,9
4,15,35,8,28,0.4830948095884379,2.520624262569063,0.2212113847405266,-0.4480278161828886,0.5745921431671596,67.66666666666667,9
4,15,35,8,36,0.4720527133877596,3.170510806249135,0.23642717994517193,-0.43520996945484175,0.5634095132023725,63.44444444444444,9
4,15,35,8,44,0.4954516975822675,3.365691666940278,0.22932992391872795,-0.44772162518404013,0.5625673809221531,63.0,9
4,15,35,10,20,0.47381112259660324,2.6153841938795503,0.209811574714019,-0.450720840749792,0.5752592315370433,70.77777777777777,9
4,15,35,10,28,0.5187368744116564,2.8598039679022706,0.25224266252109967,-0.42168109146345745,0.5826470770282132,65.55555555555556,9
4,15,35,10,36,0.4801389094286745,3.206503108788649,0.2305811933356644,-0.44703749194460685,0.5612284999492336,61.55555555555556,9
4,15,35,10,44,0.5341241922444602,4.300870177097161,0.2559169401514667,-0.4427968497462852,0.5690654854354281,60.888888888888886,9
4,15,35,14,20,0.47030238364333077,2.5200543567834877,0.22911817701949935,-0.42585693866351826,0.5633207942934475,67.66666666666667,9
4,15,35,14,28,0.5205938256625622,3.50792007193261,0.26645595439697434,-0.42990519388057935,0.5786376557619133,62.333333333333336,9
4,15,35,14,36,0.5371609605884041,2.8868150094637333,0.25334799404050595,-0.4320273275045738,0.5691317230125418,58.111111111111114,9
4,15,35,14,44,0.5411615575160366,2.8364879577698923,0.25286637407376966,-0.42225141031401064,0.5839844367757233,57.44444444444444,9
4,15,35,18,20,0.5190296379642779,3.743227731903689,0.2543353602088299,-0.4298138542039848,0.5879103265034371,64.0,9
4,15,35,18,28,0.5514936232815589,3.6064649825000092,0.2775122643113555,-0.41265165993285025,0.5725764870605654,59.0,9
4,15,35,18,36,0.5645170271111388,3.445108162595873,0.28859695051413253,-0.40470628463530084,0.5874687787135383,54.888888888888886,9
4,15,35,18,44,0.559193702078739,3.894738523375532,0.28519930567287227,-0.41217671965234925,0.5913969393334473,52.888888888888886,9
4,15,35,22,20,0.5207087910346385,3.0812878493860314,0.25095355729443597,-0.4141118038294016,0.5668941171630099,59.44444444444444,9
4,15,35,22,28,0.581453402890732,5.1369500820617,0.3250828545691091,-0.4058952760573559,0.5972132564211023,55.77777777777778,9
4,15,35,22,36,0.5295829479693546,2.776995055933101,0.2585690747183468,-0.3981563573059959,0.5817191231117556,52.0,9
4,15,35,22,44,0.6003737727062645,3.6881837284308343,0.30626165058754096,-0.38711273247290423,0.5973425996293608,48.22222222222222,9
4,15,40,8,20,0.46898766544330683,2.710400831318636,0.20391327561051562,-0.4476918085574031,0.5574849827352688,70.88888888888889,9
4,15,40,8,28,0.5103092079938113,3.31092564320035,0.2554474981517901,-0.43337474344240223,0.5583083506132197,64.66666666666667,9
4,15,40,8,36,0.4925870497876367,3.338796122799922,0.2328237218983794,-0.44744113446537614,0.578201567181276,60.888888888888886,9
4,15,40,8,44,0.5617571816129834,4.7191975758505516,0.2930573970104846,-0.40086128961245,0.5696658432663615,57.888888888888886,9
4,15,40,10,20,0.4915312375912081,3.2284854807531094,0.23448313398204043,-0.44739947353106324,0.57243689899809,69.11111111111111,9
4,15,40,10,28,0.47840227091331156,2.3527337093559924,0.22974916501469636,-0.4308673717171947,0.5614398581515876,62.333333333333336,9
4,15,40,10,36,0.5040321049089456,3.886207762991394,0.24713417576837454,-0.4261069197600166,0.5668881791950942,58.888888888888886,9
4,15,40,10,44,0.5618566576753492,4.058546768792969,0.29140240637613624,-0.39833143794672105,0.5755930984994344,56.0,9
4,15,40,14,20,0.4883114407001862,2.743182648993337,0.22968178888189308,-0.4397398789901901,0.5671342936877977,65.33333333333333,9
4,15,40,14,28,0.5160744190969485,2.9277527867287008,0.2456437269497733,-0.44785714492334083,0.5811054349368526,58.77777777777778,9
4,15,40,14,36,0.5882264858859797,3.638247267203048,0.29542415217220275,-0.4069853191869403,0.5751037546108688,55.666666666666664,9
4,15,40,14,44,0.5937840921012226,4.2934971497121,0.31555754626602983,-0.4001021637118223,0.5824944099060763,52.888888888888886,9
4,15,40,18,20,0.5435374716181639,3.75513053392096,0.2745674315817906,-0.43194867258450664,0.5675730971861028,59.666666666666664,9
4,15,40,18,28,0.5677497134508729,3.6921945809449945,0.2887418082282489,-0.40921109035733694,0.5824925585740807,56.0,9
4,15,40,18,36,0.5269448682912379,2.514130830268116,0.25233413925848697,-0.4143038246531582,0.5783150217697369,51.888888888888886,9
4,15,40,18,44,0.5767243672429054,3.9503078536844263,0.3133215254718115,-0.3704194239194649,0.5964281672988726,48.0,9
4,15,40,22,20,0.5671337039642633,5.029366412354295,0.32134348381423694,-0.3820131852242114,0.5811813020169934,56.0,9
4,15,40,22,28,0.5135798367178384,3.3538788509713164,0.26566605426854345,-0.40901175339084683,0.5663763504687032,52.77777777777778,9
4,15,40,22,36,0.5906175224210787,3.209907446502796,0.3072466139904906,-0.3736121968468284,0.6023750841687276,48.333333333333336,9
4,15,40,22,44,0.6758537328444256,5.137201278643654,0.35852909661908705,-0.3785149894013795,0.6246400096991086,44.77777777777778,9
